SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PAB9040_O6BKR_TZMPA,https://media.pomellato.com/media/catalog/product/P/A/PAB9040_O6BKR_TZMPA_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pab9040-o6bkr-tzmpa?size=18,Ring,4050,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Malachite,Tsavorite,Prasiolite,
PAC3000_O6BKR_TZMPA,https://media.pomellato.com/media/catalog/product/P/A/PAC3000_O6BKR_TZMPA_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pac3000-o6bkr-tzmpa?size=18,Ring,3250,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Malachite,Tsavorite,Prasiolite,
POC3000_O6BKR_TZMPA,https://media.pomellato.com/media/catalog/product/P/O/POC3000_O6BKR_TZMPA_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-poc3000-o6bkr-tzmpa?size=152,Earrings,5100,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Malachite,Tsavorite,Prasiolite,
PAB9040_O6BKR_OI0GL,https://media.pomellato.com/media/catalog/product/P/A/PAB9040_O6BKR_OI0GL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pab9040-o6bkr-oi0gl?size=18,Ring,4050,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Amethyst,,,
PAC3000_O6BKR_OI0GL,https://media.pomellato.com/media/catalog/product/P/A/PAC3000_O6BKR_OI0GL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pac3000-o6bkr-oi0gl?size=18,Ring,3250,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Amethyst,,,
POC3000_O6BKR_OI0GL,https://media.pomellato.com/media/catalog/product/P/O/POC3000_O6BKR_OI0GL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-poc3000-o6bkr-oi0gl?size=152,Earrings,5100,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Amethyst,,,
PAB9040_O6BKR_ZALTL,https://media.pomellato.com/media/catalog/product/P/A/PAB9040_O6BKR_ZALTL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-pab9040-o6bkr-zaltl?size=18,Ring,5650,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,Lapis Lazuli,Blue Sapphire,
PAC3000_O6BKR_ZALTL,https://media.pomellato.com/media/catalog/product/P/A/PAC3000_O6BKR_ZALTL_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pac3000-o6bkr-zaltl?size=18,Ring,4300,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,Lapis Lazuli,Blue Sapphire,
POC3000_O6BKR_ZALTL,https://media.pomellato.com/media/catalog/product/P/O/POC3000_O6BKR_ZALTL_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-poc3000-o6bkr-zaltl?size=152,Earrings,6900,Nudo Classic Earrings,,Nudo,18k Rose Gold,18k White Gold,,Blue London Topaz,Lapis Lazuli,Blue Sapphire,
POB4010_O6WHR_DB0TB,https://media.pomellato.com/media/catalog/product/P/O/POB4010_O6WHR_DB0TB_10.jpg,https://www.pomellato.com/us_en/nudo-classic-earrings-pob4010-o6whr-db0tb?size=152,Earrings,6000,Nudo Classic Earrings,,Nudo,18k Rose Gold,,,Diamond,White Topaz,,
PBC1006_O7WHR_DB0PA,https://media.pomellato.com/media/catalog/product/P/B/PBC1006_O7WHR_DB0PA_10.jpg,https://www.pomellato.com/us_en/nudo-bracelet-pbc1006-o7whr-db0pa?size=5,Bracelet,10650,Nudo Bracelet,,Nudo,18k Rose Gold,,,Diamond,Prasiolite,,
PCC2022_O6WHR_DB0PA,https://media.pomellato.com/media/catalog/product/P/C/PCC2022_O6WHR_DB0PA_10.jpg,https://www.pomellato.com/us_en/nudo-classic-necklace-with-pendant-pcc2022-o6whr-db0pa?size=154,Necklace,3850,Nudo Classic Necklace with Pendant,,Nudo,18k Rose Gold,,,Diamond,Prasiolite,,
PAC0100_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC0100_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-ring-pac0100-o7whr-db000?size=18,Ring,4500,Pomellato Together Ring,,Pomellato Together,18k Rose Gold,,,Diamond,,,
PBC3070_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/B/PBC3070_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-bangle-pbc3070-o7whr-db000?size=5,Bangle,12450,Pomellato Together Bangle,,Pomellato Together,18k Rose Gold,,,Diamond,,,
POB8111_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB8111_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/pomellato-together-earrings-pob8111-o7000-db000?size=152,Earrings,4700,Pomellato Together Earrings,,Pomellato Together,18k Rose Gold,,,Diamond,,,
PAC0100_O7BKR_DBR00,https://media.pomellato.com/media/catalog/product/P/A/PAC0100_O7BKR_DBR00_10.jpg,https://www.pomellato.com/us_en/pomellato-together-ring-pac0100-o7bkr-dbr00?size=18,Ring,3750,Pomellato Together Ring,,Pomellato Together,18k Rose Gold,,,Brown Diamond,,,
